,date_iD,Date,Site_ID,sample code,subset sample code,lot code (#),provisional ID (order),family ID,abundance,notes,Replicate,small,medium,big,notes
,2010-07-18,2018-05-31,EP4,EP4-BM-31.05.18,EP4-BM-31.05.18-S,EP4-BM-31.05.18-S-6,Coleoptera,Haliplidae,1,D3,Rep_2,,,,
,2010-07-18,2018-05-31,EP4,EP4-BM-31.05.18,EP4-BM-31.05.18-S,EP4-BM-31.05.18-S-7,Annelida,,6,D4,Rep_2,,,,
,2010-07-18,2018-05-31,EP4,EP4-BM-31.05.18,EP4-BM-31.05.18-S,EP4-BM-31.05.18-S-8,Gastropoda,,4,D5,Rep_2,,,,
,2010-07-18,2018-05-31,HC,HC-BM-31.05.18,HC-BM-31.05.18-S,HC-BM-31.05.18-S-1,Amphipoda,,20,B10,Rep_1,28,3,2,"gastro, bivalva"
,2010-07-18,2018-05-31,HC,HC-BM-31.05.18,HC-BM-31.05.18-S,HC-BM-31.05.18-S-2,Diptera,Chironomidae L,2,C1,Rep_1,,,,
,2010-07-18,2018-05-31,HC,HC-BM-31.05.18,HC-BM-31.05.18-S,HC-BM-31.05.18-S-3,Gastropoda,,3,C2,Rep_1,,,,
,2010-07-18,2018-05-31,HC,HC-BM-31.05.18,HC-BM-31.05.18-S,HC-BM-31.05.18-S-4,Bivalva,,7,C3,Rep_1,,,,
,2010-07-18,2018-05-31,HC,HC-BM-31.05.18,HC-BM-31.05.18-S,HC-BM-31.05.18-S-5,annelida,,1,C4,Rep_1,,,,
,2017-07-18,2018-06-04,AT,AT-BM-04.06.18,AT-BM-04.06.18-S,AT-BM-04.06.18-S-1,Diptera,Chironomidae L,7,F2,Rep_1,22,5,,"diptera, cal, hydro"
,2017-07-18,2018-06-04,AT,AT-BM-04.06.18,AT-BM-04.06.18-S,AT-BM-04.06.18-S-2,Diptera,Culicidae,1,F3,Rep_1,,,,
,2017-07-18,2018-06-04,AT,AT-BM-04.06.18,AT-BM-04.06.18-S,AT-BM-04.06.18-S-3,Amphipoda,,2,F4,Rep_1,,,,
,2017-07-18,2018-06-04,AT,AT-BM-04.06.18,AT-BM-04.06.18-S,AT-BM-04.06.18-S-4,Coleoptera,Hydrophilidae,1,F5,Rep_1,,,,
,2017-07-18,2018-06-04,AT,AT-BM-04.06.18,AT-BM-04.06.18-S,AT-BM-04.06.18-S-5,Gastropoda,,16,F6,Rep_1,,,,
,2013-07-18,2018-06-04,EP4,EP4-BM-04.06.18,EP4-BM-04.06.18-S,EP4-BM-04.06.18-S-1,Diptera,chironomidae L,690,D6,Rep_1,709,7,,"ephem, chaleid, amphipoda, dytiscidae, acari"
,2013-07-18,2018-06-04,EP4,EP4-BM-04.06.18,EP4-BM-04.06.18-S,EP4-BM-04.06.18-S-2,Annelida,,12,D7,Rep_1,,,,
,2013-07-18,2018-06-04,EP4,EP4-BM-04.06.18,EP4-BM-04.06.18-S,EP4-BM-04.06.18-S-3,Diptera,chironomidae A,5,D8,Rep_1,,,,
,2013-07-18,2018-06-04,EP4,EP4-BM-04.06.18,EP4-BM-04.06.18-S,EP4-BM-04.06.18-S-4,Ephemeroptera,Baefidae e,19,D9,Rep_1,,,,
,2013-07-18,2018-06-04,EP4,EP4-BM-04.06.18,EP4-BM-04.06.18-S,EP4-BM-04.06.18-S-5,Hymenoptera,Chaleidoidea,1,D10,Rep_1,,,,
,2013-07-18,2018-06-04,EP4,EP4-BM-04.06.18,EP4-BM-04.06.18-S,EP4-BM-04.06.18-S-6,Amphipoda,,8,E1,Rep_1,,,,
,2013-07-18,2018-06-04,EP4,EP4-BM-04.06.18,EP4-BM-04.06.18-S,EP4-BM-04.06.18-S-7,Coleoptera,Dystiscidae,6,E2,Rep_1,,,,
,2013-07-18,2018-06-04,EP4,EP4-BM-04.06.18,EP4-BM-04.06.18-S,EP4-BM-04.06.18-S-8,Hymenoptera,Formicidae,1,E3,Rep_1,,,,
,2013-07-18,2018-06-04,EP4,EP4-BM-04.06.18,EP4-BM-04.06.18-S,EP4-BM-04.06.18-S-9,Acari,,1,E4,Rep_1,,,,
,2013-07-18,2018-06-04,EP4,EP4-BM-04.06.18,EP4-BM-04.06.18-S,EP4-BM-04.06.18-S-10,Gastropoda,,7,E5,Rep_1,,,,
,2013-07-18,2018-06-04,EP4,EP4-BM-04.06.18,EP4-BM-04.06.18-S,EP4-BM-04.06.18-S-11,Bivalva,,10,E6,Rep_1,,,,
,2017-07-18,2018-06-04,HC,HC-BM-04.06.18,HC-BM-04.06.18-S,HC-BM-04.06.18-S-1,Amphipoda,,101,E7,Rep_1,153,5,,amp
,2017-07-18,2018-06-04,HC,HC-BM-04.06.18,HC-BM-04.06.18-S,HC-BM-04.06.18-S-2,Coleoptera,Elmidae,2,E8,Rep_1,,,,
,2017-07-18,2018-06-04,HC,HC-BM-04.06.18,HC-BM-04.06.18-S,HC-BM-04.06.18-S-3,Diptera,chironomidae L,54,E9,Rep_1,,,,
,2017-07-18,2018-06-04,HC,HC-BM-04.06.18,HC-BM-04.06.18-S,HC-BM-04.06.18-S-4,Annelida,,2,E10,Rep_1,,,,
,2017-07-18,2018-06-04,HC,HC-BM-04.06.18,HC-BM-04.06.18-S,HC-BM-04.06.18-S-5,Odonata,,1,F1,Rep_1,,,,
,2020-07-18,2018-06-07,AT,AT-BM-07.06.18,AT-BM-07.06.18-S,AT-BM-07.06.18-S1,Diptera,Chironomidae L,5,F9,Rep_1,,,,
,2020-07-18,2018-06-07,AT,AT-BM-07.06.18,AT-BM-07.06.18-S,AT-BM-07.06.18-S2,Coleoptera,Dystiscidae,3,F10,Rep_1,,,,
,2020-07-18,2018-06-07,AT,AT-BM-07.06.18,AT-BM-07.06.18-S,AT-BM-07.06.18-S3,Annelida,,1,G1,Rep_1,,,,
,2020-07-18,2018-06-07,AT,AT-BM-07.06.18,AT-BM-07.06.18-S,AT-BM-07.06.18-S4,Gastropoda,,2,G2,Rep_1,,,,
,20/07/2018,2018-06-07,AT,AT-BM-07.06.18,AT-BM-07.06.18-S,AT-BM-07.06.18-S-1,diptera,chironomidae L,5,,Rep_1,5,4,1,
,20/07/2018,2018-06-07,AT,AT-BM-07.06.18,AT-BM-07.06.18-S,AT-BM-07.06.18-S-2,Coleoptera,Dystiscidae,3,,Rep_1,,,,
